geoId,population_2019,data_source
AF,38041757,1
AL,2862427,1
DZ,43053054,1
AD,76177,1
AO,31825299,1
AI,14872,1
AG,97115,1
AR,44780675,1
AM,2957728,1
AW,106310,1
AU,25203200,1
AT,8858775,1
AZ,10047719,1
BS,389486,1
BH,1641164,1
BD,163046173,1
BB,287021,1
BY,9452409,1
BE,11455519,1
BZ,390351,1
BJ,11801151,1
BM,62508,1
BT,763094,1
BO,11513102,1
BQ,25983,1
BA,3300998,1
BW,2303703,1
BR,211049519,1
VG,30033,1
BN,433296,1
BG,7000039,1
BF,20321383,1
BI,11530577,1
KH,16486542,1
CM,25876387,1
CA,37411038,1
CV,549936,1
JPG11668,0,1
KY,64948,1
CF,4745179,1
TD,15946882,1
CL,18952035,1
CN,1433783692,1
CO,50339443,1
KM,850891,1
CG,5380504,1
CR,5047561,1
CI,25716554,1
HR,4076246,1
CU,11333484,1
CW,163423,1
CY,875899,1
CZ,10649800,1
CD,86790568,1
DK,5806081,1
DJ,973557,1
DM,71808,1
DO,10738957,1
EC,17373657,1
EG,100388076,1
SV,6453550,1
GQ,1355982,1
ER,3497117,1
EE,1324820,1
SZ,1148133,1
ET,112078727,1
FK,3372,1
FO,48677,1
FJ,889955,1
FI,5517919,1
FR,67012883,1
PF,279285,1
GA,2172578,1
GM,2347696,1
GE,3996762,1
DE,83019213,1
GH,30417858,1
GI,33706,1
EL,10724599,1
GL,56660,1
GD,112002,1
GU,167295,1
GT,17581476,1
GG,64468,1
GN,12771246,1
GW,1920917,1
GY,782775,1
HT,11263079,1
VA,815,1
HN,9746115,1
HU,9772756,1
IS,356991,1
IN,1366417756,1
ID,270625567,1
IR,82913893,1
IQ,39309789,1
IE,4904240,1
IM,84589,1
IL,8519373,1
IT,60359546,1
JM,2948277,1
JP,126860299,1
JE,107796,1
JO,10101697,1
KZ,18551428,1
KE,52573967,1
XK,1798506,1
KW,4207077,1
KG,6415851,1
LA,7169456,1
LV,1919968,1
LB,6855709,1
LS,2125267,1
LR,4937374,1
LY,6777453,1
LI,38378,1
LT,2794184,1
LU,613894,1
MG,26969306,1
MW,18628749,1
MY,31949789,1
MV,530957,1
ML,19658023,1
MT,493559,1
MH,58791,1
MR,4525698,1
MU,1269670,1
MX,127575529,1
MD,4043258,1
MC,33085,1
MN,3225166,1
ME,622182,1
MS,4991,1
MA,36471766,1
MZ,30366043,1
MM,54045422,1
NA,2494524,1
NP,28608715,1
NL,17282163,1
NC,282757,1
NZ,4783062,1
NI,6545503,1
NE,23310719,1
NG,200963603,1
MK,2077132,1
MP,57213,1
NO,5328212,1
OM,4974992,1
PK,216565317,1
PS,4981422,1
PA,4246440,1
PG,8776119,1
PY,7044639,1
PE,32510462,1
PH,108116622,1
PL,37972812,1
PT,10276617,1
PR,2933404,1
QA,2832071,1
RO,19414458,1
RU,145872260,1
RW,12626938,1
KN,52834,1
LC,182795,1
VC,110593,1
SM,34453,1
ST,215048,1
SA,34268529,1
SN,16296362,1
RS,6963764,1
SC,97741,1
SL,7813207,1
SG,5804343,1
SX,42389,1
SK,5450421,1
SI,2080908,1
SB,669821,1
SO,15442906,1
ZA,58558267,1
KR,51225321,1
SS,11062114,1
ES,46937060,1
LK,21323734,1
SD,42813237,1
SR,581363,1
SE,10230185,1
CH,8544527,1
SY,17070132,1
TW,23773881,1
TJ,9321023,1
TH,69625581,1
TL,1293120,1
TG,8082359,1
TT,1394969,1
TN,11694721,1
TR,82003882,1
TC,38194,1
UG,44269587,1
UA,43993643,1
AE,9770526,1
UK,66647112,1
TZ,58005461,1
US,329064917,1
VI,104579,1
UY,3461731,1
UZ,32981715,1
VU,299882,1
VE,28515829,1
VN,96462108,1
WF,0,1
EH,582458,1
YE,29161922,1
ZM,17861034,1
ZW,14645473,1
